timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732800282192,1718,HTTP Request,200,OK,JmeterScripttesting 1-43,text,true,,7490,208,103,103,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1717,0,946
1732800281736,2174,HTTP Request,200,OK,JmeterScripttesting 1-20,text,true,,7492,208,103,103,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2173,0,1420
1732800282676,1239,HTTP Request,200,OK,JmeterScripttesting 1-67,text,true,,7487,208,102,102,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1234,0,493
1732800281595,2321,HTTP Request,200,OK,JmeterScripttesting 1-9,text,true,,7491,208,101,101,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2320,0,1539
1732800281834,2082,HTTP Request,200,OK,JmeterScripttesting 1-25,text,true,,7486,208,101,101,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2081,0,1349
1732800282012,1904,HTTP Request,200,OK,JmeterScripttesting 1-34,text,true,,7488,208,101,101,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1902,0,1147
1732800281875,2043,HTTP Request,200,OK,JmeterScripttesting 1-27,text,true,,7490,208,99,99,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2042,0,1288
1732800281598,2320,HTTP Request,200,OK,JmeterScripttesting 1-7,text,true,,7496,208,99,99,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2319,0,1578
1732800282437,1483,HTTP Request,200,OK,JmeterScripttesting 1-55,text,true,,7494,208,96,96,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1482,0,704
1732800282595,1325,HTTP Request,200,OK,JmeterScripttesting 1-63,text,true,,7484,208,96,96,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1324,0,578
1732800282593,1327,HTTP Request,200,OK,JmeterScripttesting 1-62,text,true,,7492,208,96,96,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1327,0,575
1732800281599,2339,HTTP Request,200,OK,JmeterScripttesting 1-4,text,true,,7488,208,94,94,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2333,0,1537
1732800281595,2343,HTTP Request,200,OK,JmeterScripttesting 1-13,text,true,,7498,208,94,94,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2343,0,1526
1732800281653,2286,HTTP Request,200,OK,JmeterScripttesting 1-16,text,true,,7488,208,92,92,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2286,0,1502
1732800282636,1355,HTTP Request,200,OK,JmeterScripttesting 1-65,text,true,,7488,208,93,93,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1349,0,522
1732800282593,1399,HTTP Request,200,OK,JmeterScripttesting 1-61,text,true,,7488,208,93,93,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1398,0,580
1732800282588,1405,HTTP Request,200,OK,JmeterScripttesting 1-59,text,true,,7492,208,93,93,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1404,0,596
1732800281598,2400,HTTP Request,200,OK,JmeterScripttesting 1-11,text,true,,7494,208,91,91,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2399,0,1532
1732800282454,1550,HTTP Request,200,OK,JmeterScripttesting 1-56,text,true,,7488,208,90,90,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1549,0,675
1732800282614,1390,HTTP Request,200,OK,JmeterScripttesting 1-64,text,true,,7492,208,90,90,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1390,0,564
1732800282154,1850,HTTP Request,200,OK,JmeterScripttesting 1-41,text,true,,7482,208,90,90,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1850,0,997
1732800282136,1880,HTTP Request,200,OK,JmeterScripttesting 1-40,text,true,,7488,208,88,88,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1874,0,1018
1732800281978,2039,HTTP Request,200,OK,JmeterScripttesting 1-32,text,true,,7494,208,88,88,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2038,0,1165
